#Organism Name,Organism Groups,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,Host,CDS,Neighbors,Release Date,GenBank FTP,RefSeq FTP,Replicons
"Torque teno virus 3","Viruses;Other;Anelloviridae","","","GCA_000888935.1","Complete",0.003748,51.4," Unknown:NC_014081.1/AY666122.2","human",6,,"2004-08-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/888/935/GCA_000888935.1_ViralProj48161","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/935/GCF_000888935.1_ViralProj48161"," Unknown:NC_014081.1/AY666122.2"
"Torque teno virus 25","Viruses;Other;Anelloviridae","","","GCA_000889815.1","Complete",0.003763,53.8," Unknown:NC_014083.1/AB041959.1","human",3,,"2000-12-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/889/815/GCA_000889815.1_ViralProj48165","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/889/815/GCF_000889815.1_ViralProj48165"," Unknown:NC_014083.1/AB041959.1"
"Torque teno mini virus 2","Viruses;Other;Anelloviridae","","","GCA_000888275.1","Complete",0.002765,39.4," Unknown:NC_014086.1/AB038629.1","human",3,,"2000-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/888/275/GCA_000888275.1_ViralProj48171","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/275/GCF_000888275.1_ViralProj48171"," Unknown:NC_014086.1/AB038629.1"
"Torque teno mini virus 3","Viruses;Other;Anelloviridae","","","GCA_000887315.1","Complete",0.002897,38," Unknown:NC_014088.1/AB038630.1","human",3,,"2000-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/315/GCA_000887315.1_ViralProj48175","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/315/GCF_000887315.1_ViralProj48175"," Unknown:NC_014088.1/AB038630.1"
"Torque teno mini virus 5","Viruses;Other;Anelloviridae","","","GCA_000888975.1","Complete",0.002908,37.1," Unknown:NC_014089.1/AB041962.1","human",3,,"2000-12-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/888/975/GCA_000888975.1_ViralProj48177","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/975/GCF_000888975.1_ViralProj48177"," Unknown:NC_014089.1/AB041962.1"
"Torque teno midi virus 2","Viruses;Other;Anelloviridae","","","GCA_000887335.1","Complete",0.003253,42.9," Unknown:NC_014093.1/AB290919.1","human",4,,"2007-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/335/GCA_000887335.1_ViralProj48185","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/335/GCF_000887335.1_ViralProj48185"," Unknown:NC_014093.1/AB290919.1"
"Torque teno virus 6","Viruses;Other;Anelloviridae","","","GCA_000888995.1","Complete",0.003705,50," Unknown:NC_014094.1/AF435014.1","human",4,,"2001-11-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/888/995/GCA_000888995.1_ViralProj48187","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/995/GCF_000888995.1_ViralProj48187"," Unknown:NC_014094.1/AF435014.1"
"Torque teno mini virus 6","Viruses;Other;Anelloviridae","","","GCA_000888315.1","Complete",0.002897,37.4," Unknown:NC_014095.1/AB026929.1","human",3,,"1999-11-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/888/315/GCA_000888315.1_ViralProj48189","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/315/GCF_000888315.1_ViralProj48189"," Unknown:NC_014095.1/AB026929.1"
"Torque teno mini virus 1","Viruses;Other;Anelloviridae","","","GCA_000887355.1","Complete",0.002856,38.2," Unknown:NC_014097.1/AB026931.1","human",3,,"1999-11-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/355/GCA_000887355.1_ViralProj48193","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/355/GCF_000887355.1_ViralProj48193"," Unknown:NC_014097.1/AB026931.1"
"Human papillomavirus 121","Viruses;Other;Papillomaviridae","","","GCA_000889075.1","Complete",0.007342,37.7,"NC_014185.1/GQ845443.1","human",7,6,"2010-05-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/889/075/GCA_000889075.1_ViralProj49377","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/889/075/GCF_000889075.1_ViralProj49377","NC_014185.1/GQ845443.1"
"Bocavirus gorilla/GBoV1/2009","Viruses;Other;Parvoviridae","","","GCA_000889135.1","Complete",0.004944,41.1," Unknown:NC_014358.1/HM145750.1","human,vertebrates",4,26,"2010-07-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/889/135/GCA_000889135.1_ViralProj51179","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/889/135/GCF_000889135.1_ViralProj51179"," Unknown:NC_014358.1/HM145750.1"
"Trichodysplasia spinulosa-associated polyomavirus","Viruses;Other;Polyomaviridae","","","GCA_000887495.1","Complete",0.005232,40.1," Unknown:NC_014361.1/GU989205.1","human",5,23,"2010-07-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/495/GCA_000887495.1_ViralProj51185","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/495/GCF_000887495.1_ViralProj51185"," Unknown:NC_014361.1/GU989205.1"
"Bundibugyo ebolavirus","Viruses;Other;Filoviridae","","","GCA_000889155.1","Complete",0.01894,42," Unknown:NC_014373.1/FJ217161.1","human,vertebrates",9,24,"2008-11-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/889/155/GCA_000889155.1_ViralProj51245","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/889/155/GCF_000889155.1_ViralProj51245"," Unknown:NC_014373.1/FJ217161.1"
"Tai Forest ebolavirus","Viruses;Other;Filoviridae","","","GCA_000888475.1","Complete",0.018935,42.3," Unknown:NC_014372.1/FJ217162.1","human,vertebrates",9,2,"2008-11-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/888/475/GCA_000888475.1_ViralProj51257","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/475/GCF_000888475.1_ViralProj51257"," Unknown:NC_014372.1/FJ217162.1"
"Human polyomavirus 7","Viruses;Other;Polyomaviridae","","","GCA_000889175.1","Complete",0.004952,42.9," Unknown:NC_014407.1/HM011566.1","human",5,15,"2010-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/889/175/GCA_000889175.1_ViralProj51557","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/889/175/GCF_000889175.1_ViralProj51557"," Unknown:NC_014407.1/HM011566.1"
"Human polyomavirus 6","Viruses;Other;Polyomaviridae","","","GCA_000888495.1","Complete",0.004926,42.7," Unknown:NC_014406.1/HM011560.1","human",5,16,"2010-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/888/495/GCA_000888495.1_ViralProj51559","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/495/GCF_000888495.1_ViralProj51559"," Unknown:NC_014406.1/HM011560.1"
"Human papillomavirus 127","Viruses;Other;Papillomaviridae","","","GCA_000890115.1","Complete",0.007181,37,"NC_014469.1/HM011570.1","human",7,11,"2010-08-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/890/115/GCA_000890115.1_ViralProj51741","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/890/115/GCF_000890115.1_ViralProj51741","NC_014469.1/HM011570.1"
"Simian retrovirus 4","Viruses;Other;Retroviridae","","","GCA_000888575.1","Complete",0.008126,43.3," Unknown:NC_014474.1/FJ971077.1","human,vertebrates",4,4,"2010-08-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/888/575/GCA_000888575.1_ViralProj51791","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/575/GCF_000888575.1_ViralProj51791"," Unknown:NC_014474.1/FJ971077.1"
"Torque teno virus 2","Viruses;Other;Anelloviridae","","","GCA_000890135.1","Complete",0.003322,52.8," Unknown:NC_014480.2/AB049608.1","human,vertebrates",2,,"2001-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/890/135/GCA_000890135.1_ViralProj51893","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/890/135/GCF_000890135.1_ViralProj51893"," Unknown:NC_014480.2/AB049608.1"
"Great Island virus","Viruses;Other;Reoviridae","","","GCA_000887635.1","Complete",0.017858,57.7735," 1:NC_014522.1/HM543465.1;  2:NC_014523.1/HM543466.1;  3:NC_014524.1/HM543467.1;  4:NC_014525.1/HM543468.1;  5:NC_014526.1/HM543469.1;  6:NC_014527.1/HM543470.1;  7:NC_014528.1/HM543471.1;  8:NC_014529.1/HM543472.1;  9:NC_014530.1/HM543473.1;  10:NC_014531.1/HM543474.1","human,invertebrates",11,121,"2010-09-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/635/GCA_000887635.1_ViralMultiSegProj52641","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/635/GCF_000887635.1_ViralMultiSegProj52641"," 1:NC_014522.1/HM543465.1;  2:NC_014523.1/HM543466.1;  3:NC_014524.1/HM543467.1;  4:NC_014525.1/HM543468.1;  5:NC_014526.1/HM543469.1;  6:NC_014527.1/HM543470.1;  7:NC_014528.1/HM543471.1;  8:NC_014529.1/HM543472.1;  9:NC_014530.1/HM543473.1;  10:NC_014531.1/HM543474.1"
"Human papillomavirus 148","Viruses;Other;Papillomaviridae","","","GCA_003178855.1","Complete",0.007164,37.4,"GU129016.1","human",7,,"2010-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/178/855/GCA_003178855.1_ASM317885v1",,"GU129016.1"
"Human papillomavirus type 128","Viruses;Other;Papillomaviridae","","","GCA_000889675.1","Complete",0.007259,36,"NC_014952.1/GU225708.1","human,vertebrates",7,3,"2010-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/889/675/GCA_000889675.1_ViralProj62171","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/889/675/GCF_000889675.1_ViralProj62171","NC_014952.1/GU225708.1"
"Human papillomavirus type 129","Viruses;Other;Papillomaviridae","","","GCA_000891495.1","Complete",0.007219,37.3,"NC_014953.1/GU233853.1","human",7,4,"2010-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/891/495/GCA_000891495.1_ViralProj62175","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/891/495/GCF_000891495.1_ViralProj62175","NC_014953.1/GU233853.1"
"Human papillomavirus type 131","Viruses;Other;Papillomaviridae","","","GCA_000890535.1","Complete",0.007182,37,"NC_014954.1/GU117631.1","human",7,1,"2010-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/890/535/GCA_000890535.1_ViralProj62177","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/890/535/GCF_000890535.1_ViralProj62177","NC_014954.1/GU117631.1"
"Human papillomavirus 132","Viruses;Other;Papillomaviridae","","","GCA_000888015.1","Complete",0.007125,37.9,"NC_014955.1/GU117632.1","human",7,11,"2010-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/888/015/GCA_000888015.1_ViralProj62179","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/015/GCF_000888015.1_ViralProj62179","NC_014955.1/GU117632.1"
"Human papillomavirus 134","Viruses;Other;Papillomaviridae","","","GCA_000889695.1","Complete",0.007309,38.1,"NC_014956.1/GU117634.1","human",7,15,"2010-12-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/889/695/GCA_000889695.1_ViralProj62181","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/889/695/GCF_000889695.1_ViralProj62181","NC_014956.1/GU117634.1"
"Human polyomavirus 9","Viruses;Other;Polyomaviridae","","","GCA_000891615.1","Complete",0.005026,39.2," Unknown:NC_015150.1/HQ696595.1","human",5,5,"2011-02-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/891/615/GCA_000891615.1_ViralProj63123","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/891/615/GCF_000891615.1_ViralProj63123"," Unknown:NC_015150.1/HQ696595.1"
"Chandiru virus","Viruses;Other;Phenuiviridae","","","GCA_000891915.1","Complete",0.012495,39.5243," L:NC_015374.1/HM119407.1;  M:NC_015373.1/HM119408.1;  S:NC_015375.1/HM119409.1","human,invertebrates,vertebrates",4,15,"2011-04-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/891/915/GCA_000891915.1_ViralMultiSegProj65423","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/891/915/GCF_000891915.1_ViralMultiSegProj65423"," L:NC_015374.1/HM119407.1;  M:NC_015373.1/HM119408.1;  S:NC_015375.1/HM119409.1"
"Avian gyrovirus 2","Viruses;Other;Anelloviridae","","","GCA_000891935.1","Complete",0.002383,53.6," Unknown:NC_015396.1/HM590588.1","human,vertebrates",3,31,"2011-04-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/891/935/GCA_000891935.1_ViralProj65815","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/891/935/GCF_000891935.1_ViralProj65815"," Unknown:NC_015396.1/HM590588.1"
"Sandfly fever Turkey virus","Viruses;Other;Phenuiviridae","","","GCA_000891955.1","Complete",0.012603,43.6384," M:NC_015411.1/GQ847512.2;  S:NC_015413.1/GQ847511.2;  L:NC_015412.1/GQ847513.2","human,invertebrates",4,10,"2010-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/891/955/GCA_000891955.1_ViralMultiSegProj66185","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/891/955/GCF_000891955.1_ViralMultiSegProj66185"," M:NC_015411.1/GQ847512.2;  S:NC_015413.1/GQ847511.2;  L:NC_015412.1/GQ847513.2"
"Human papillomavirus type 48","Viruses;Other;Papillomaviridae","","","GCA_000839365.1","Complete",0.0071,36.8,"NC_001690.1/U31789.1","human",7,1,"1995-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/839/365/GCA_000839365.1_ViralProj14027","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/365/GCF_000839365.1_ViralProj14027","NC_001690.1/U31789.1"
"Human papillomavirus type 60","Viruses;Other;Papillomaviridae","","","GCA_000838505.1","Complete",0.007313,37,"NC_001693.1/U31792.1","human",7,,"1995-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/838/505/GCA_000838505.1_ViralProj14028","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/505/GCF_000838505.1_ViralProj14028","NC_001693.1/U31792.1"
"Adeno-associated virus - 4","Viruses;Other;Parvoviridae","","","GCA_000836885.1","Complete",0.004767,57.4," Unknown:NC_001829.1/U89790.1","human,vertebrates",2,5,"1997-08-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/836/885/GCA_000836885.1_ViralProj14030","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/885/GCF_000836885.1_ViralProj14030"," Unknown:NC_001829.1/U89790.1"
"Porcine circovirus 1","Viruses;Other;Circoviridae","","","GCA_000837765.1","Complete",0.001758,48.4,"NC_001792.2/AF071879.1","human,vertebrates",2,76,"1998-09-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/837/765/GCA_000837765.1_ViralProj14053","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/765/GCF_000837765.1_ViralProj14053","NC_001792.2/AF071879.1"
"adeno-associated virus 2","Viruses;Other;Parvoviridae","","","GCA_000838645.1","Complete",0.004679,53.8," Unknown:NC_001401.2/AF043303.1","human,vertebrates",9,5,"1993-04-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/838/645/GCA_000838645.1_ViralProj14060","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/645/GCF_000838645.1_ViralProj14060"," Unknown:NC_001401.2/AF043303.1"
"Human parvovirus B19","Viruses;Other;Parvoviridae","","","GCA_000839645.1","Complete",0.005596,43.8," Unknown:NC_000883.2/AY386330.1","human,vertebrates",6,32,"1999-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/839/645/GCA_000839645.1_ViralProj14090","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/645/GCF_000839645.1_ViralProj14090"," Unknown:NC_000883.2/AY386330.1"
"Porcine endogenous retrovirus E","Viruses;Other;Retroviridae","","","GCA_000839825.1","Complete",0.008072,48," Unknown:NC_003059.1/AF356697.1","human,vertebrates",0,10,"2001-08-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/839/825/GCA_000839825.1_ViralProj14126","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/825/GCF_000839825.1_ViralProj14126"," Unknown:NC_003059.1/AF356697.1"
"Camelpox virus","Viruses;Other;Poxviridae","","","GCA_000839105.1","Complete",0.205719,33.2," Unknown:NC_003391.1/AF438165.1","human,vertebrates",211,3,"2002-02-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/839/105/GCA_000839105.1_ViralProj14156","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/105/GCF_000839105.1_ViralProj14156"," Unknown:NC_003391.1/AF438165.1"
"Human gammaherpesvirus 8","Viruses;Other;Herpesviridae","","","GCA_000838265.1","Complete",0.137969,53.8," Unknown:NC_009333.1/AF148805.2","human,vertebrates",86,46,"1999-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/838/265/GCA_000838265.1_ViralProj14158","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/265/GCF_000838265.1_ViralProj14158"," Unknown:NC_009333.1/AF148805.2"
"Cowpox virus","Viruses;Other;Poxviridae","","","GCA_000839185.1","Complete",0.224499,33.4," Unknown:NC_003663.2/AF482758.2","human,vertebrates",233,88,"2002-04-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/839/185/GCA_000839185.1_ViralProj14174","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/185/GCF_000839185.1_ViralProj14174"," Unknown:NC_003663.2/AF482758.2"
"Ectromelia virus","Viruses;Other;Poxviridae","","","GCA_000841905.1","Complete",0.209771,33.2," Unknown:NC_004105.1/AF012825.2","human,vertebrates",173,4,"1999-01-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/841/905/GCA_000841905.1_ViralProj14211","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/841/905/GCF_000841905.1_ViralProj14211"," Unknown:NC_004105.1/AF012825.2"
"Human erythrovirus V9","Viruses;Other;Parvoviridae","","","GCA_000841965.1","Complete",0.005028,42.1," Unknown:NC_004295.1/AJ249437.1","human",6,2,"2001-09-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/841/965/GCA_000841965.1_ViralProj14224","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/841/965/GCF_000841965.1_ViralProj14224"," Unknown:NC_004295.1/AJ249437.1"
"Adeno-associated virus - 3","Viruses;Other;Parvoviridae","","","GCA_000841585.1","Complete",0.004726,53.9," Unknown:NC_001729.1/U48704.1","human,vertebrates",2,5,"1996-07-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/841/585/GCA_000841585.1_ViralProj14319","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/841/585/GCF_000841585.1_ViralProj14319"," Unknown:NC_001729.1/U48704.1"
"Human papillomavirus type 50","Viruses;Other;Papillomaviridae","","","GCA_000841625.1","Complete",0.007184,36.8,"NC_001691.1/U31790.1","human",7,1,"1995-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/841/625/GCA_000841625.1_ViralProj14327","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/841/625/GCF_000841625.1_ViralProj14327","NC_001691.1/U31790.1"
"Molluscum contagiosum virus subtype 1","Viruses;Other;Poxviridae","","","GCA_000843325.1","Complete",0.190289,63.4," Unknown:NC_001731.1/U60315.1","human,vertebrates",163,15,"1996-08-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/843/325/GCA_000843325.1_ViralProj14328","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/843/325/GCF_000843325.1_ViralProj14328"," Unknown:NC_001731.1/U60315.1"
"Human papillomavirus type 92","Viruses;Other;Papillomaviridae","","","GCA_000846285.1","Complete",0.007461,40," Unknown:NC_004500.1/AF531420.1","human",7,2,"2003-01-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/846/285/GCA_000846285.1_ViralProj14406","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/846/285/GCF_000846285.1_ViralProj14406"," Unknown:NC_004500.1/AF531420.1"
"Suid alphaherpesvirus 1","Viruses;Other;Herpesviridae","","PRJNA43419","GCA_008791805.1","Complete",0.140377,73.7,"JF797218.1","human,vertebrates",69,,"2011-08-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/791/805/GCA_008791805.1_ASM879180v1",,"JF797218.1"
